Applicant_ID,Age,Gender,Marital_Status,Dependents,Education,Employment_Type,Years_of_Employment,Monthly_Income,Loan_Amount,Loan_Term,Interest_Rate,Loan_Purpose,Existing_Loan,Monthly_EMI,Debt_to_Income_Ratio,Credit_Score,Previous_Default,Number_of_Late_Payments,Loan_Status
APP100167,40,Male,Married,2,High School,Business Owner,0.6,9700.0,39000,24,16.78,Home Renovation,1,1924.13,0.267,607.0,1,2,0
APP100168,50,Male,Married,3,Graduate,Salaried,2.1,20900.0,234000,36,16.8,Medical,1,8319.47,0.463,513.0,0,1,1
APP100169,31,Female,Married,0,Graduate,Unemployed,,22000.0,89000,36,17.19,Travel,1,3181.51,0.339,491.0,0,0,0
APP100170,48,Male,Married,0,Graduate,Business Owner,7.4,58800.0,500000,36,16.46,Debt Consolidation,0,17692.28,0.301,583.0,0,1,0
APP100171,45,Male,Married,2,Graduate,Salaried,8.9,13700.0,122000,24,20.77,Education,1,6255.28,0.507,445.0,1,2,0
APP100172,59,Male,Single,4,Graduate,Self-Employed,2.1,26400.0,342000,36,14.25,Debt Consolidation,0,11730.32,0.444,571.0,0,0,1
APP100173,53,Female,Single,1,Graduate,Unemployed,0.0,8000.0,64000,12,16.6,Home Renovation,1,5824.96,0.81,471.0,0,0,0
APP100174,21,Male,Married,4,Graduate,Salaried,1.0,649816.047538945,312000,48,16.51,Medical,1,8923.87,0.504,444.0,0,1,0
APP100175,47,Female,Single,3,High School,Salaried,15.9,26700.0,152000,36,15.79,Home Renovation,0,5328.12,0.2,596.0,0,1,1
APP100176,33,Female,Single,3,Graduate,Business Owner,,101100.0,460000,48,16.61,Business,0,13180.69,0.13,597.0,0,1,1
APP100177,61,Male,Married,3,Graduate,Salaried,8.2,53800.0,724000,24,14.33,Business,0,34874.3,0.648,679.0,0,1,1
APP100178,23,Female,Single,3,Post Graduate,Unemployed,0.0,10100.0,47000,36,21.04,Medical,1,1771.69,0.314,514.0,1,3,0
APP100179,59,Male,Single,2,Post Graduate,Self-Employed,1.3,45800.0,537000,60,16.39,Business,1,13170.33,0.454,573.0,0,4,0
APP100180,26,,,2,Post Graduate,Salaried,2.8,31600.0,102000,36,,,0,3655.39,,546.0,0,1,0
APP100181,28,Male,Married,0,Graduate,Salaried,0.4,62600.0,358000,60,18.59,Business,0,9206.14,0.147,439.0,0,4,0
APP100182,47,Male,Married,0,Graduate,Self-Employed,0.6,73100.0,265000,36,13.95,Travel,0,9050.64,0.124,573.0,0,1,1
APP100183,29,Male,Married,0,Post Graduate,Salaried,1.2,24200.0,176000,60,21.75,Other,0,4835.94,0.2,532.0,1,5,0
APP100184,57,,,0,Graduate,Salaried,1.8,15400.0,183000,36,,,1,6423.8,,532.0,0,1,0
APP100185,53,Female,Married,0,High School,Salaried,29.4,24800.0,272000,24,15.94,Debt Consolidation,0,13310.17,0.537,594.0,0,1,0
APP100186,62,Male,Married,3,Post Graduate,Self-Employed,,47100.0,238000,36,13.44,Home Renovation,1,8069.69,0.234,598.0,0,1,0
APP100187,64,Female,Married,2,High School,Unemployed,0.0,8300.0,73000,48,17.35,Debt Consolidation,0,2119.66,0.255,478.0,0,0,0
APP100188,44,,,0,High School,Self-Employed,6.0,13800.0,111000,48,,,0,3186.28,,574.0,0,0,1
APP100189,35,Female,Married,2,Post Graduate,Self-Employed,11.7,36300.0,425000,36,14.72,Other,0,14674.56,0.404,597.0,0,2,0
APP100190,52,Male,Married,1,Post Graduate,Salaried,1.4,45300.0,132000,36,16.87,Travel,0,4697.62,0.104,625.0,0,1,0
APP100191,52,Male,Single,0,Post Graduate,Self-Employed,0.8,35200.0,410000,24,16.3,Debt Consolidation,0,20133.7,0.572,533.0,0,2,1
APP100192,44,Male,Married,3,Graduate,Salaried,1.4,55800.0,260000,12,15.72,Wedding,1,23555.59,0.608,624.0,0,0,1
APP100193,61,Female,Single,0,Post Graduate,Self-Employed,10.7,132200.0,1399000,12,15.12,Home Renovation,0,126350.61,0.956,631.0,0,0,0
APP100194,32,Male,Married,2,Post Graduate,Business Owner,5.5,45100.0,147000,36,16.18,Medical,0,5181.16,0.115,561.0,0,1,1
APP100195,59,Male,Married,0,Post Graduate,Self-Employed,3.0,81000.0,944000,24,16.29,Medical,1,46352.09,0.633,547.0,0,1,0
APP100196,22,Male,Married,1,Post Graduate,Unemployed,0.0,9900.0,110000,60,18.22,Education,1,2806.46,0.419,523.0,0,3,0
